
Slno,Product,Standard,retailprice,price1

7,ACNE AHA-BHA-PHA 30 Days Miracle Acne Clear Foam,100ml,1600,
8,AHA BHA PHA 30 Days Miracle Toner,150ml,1500,
9,"AHA,BHA,PHA 30 Days Miracle Serum",50ml,1750,
10,AHA BHA PHA 30 Days Miracle Cream,50ml,1600,
12,TRUECICA Mineral 100 Calming Suncream,50ml,900,
15,SNAIL TRUECICA Miracle Repair Low pH Gel Cleanser,100ml,1300,
17,BYE BYE BLACKHEAD 30 Days Miracle Green Tea Tox,120g,1600,
